"source","id_str","text","created_at","retweet_count","in_reply_to_user_id_str","favorite_count","is_retweet"
"Twitter for iPhone","965925223949357056","Thank you to @foxandfriends for the great timeline on all of the failures the Obama Administration had against Russia, including Crimea, Syria and so much more. We are now starting to win again!","Tue Feb 20 12:24:54 +0000 2018",14655,,66368,false
"Twitter for iPhone","965780052167286784","“The Faith of Donald Trump,” a book just out by David Brody and Scott Lamb, is a very interesting read. Enjoy!","Tue Feb 20 02:48:02 +0000 2018",13259,,68243,false
"Twitter for iPhone","965775382598311937","The U.S. economy is looking very good, in my opinion, even better than anticipated. Companies are pouring back into our country, reversing the long term trend of leaving. The unemployment numbers are looking great, and Regulations &amp; Taxes have been massively Cut! JOBS, JOBS, JOBS","Tue Feb 20 02:29:29 +0000 2018",25306,,120633,false
"Twitter for iPhone","965773283554668544",".@MittRomney has announced he is running for the Senate from the wonderful State of Utah. He will make a great Senator and worthy successor to @OrrinHatch, and has my full support and endorsement!","Tue Feb 20 02:21:08 +0000 2018",9387,,55014,false
"Twitter for iPhone","965676314576543744","Obama was President up to, and beyond, the 2016 Election. So why didn’t he do something about Russian meddling?","Mon Feb 19 19:55:49 +0000 2018",22285,"25073877",91374,false
"Twitter for iPhone","965582280772276224","Have a great, but very reflective, President’s Day!","Mon Feb 19 13:42:10 +0000 2018",23877,,144230,false
"Twitter for iPhone","965442990134251520","Just watched a very insecure Oprah Winfrey, who at one point I knew very well, interview a panel of people on 60 Minutes. The questions were biased and slanted, the facts incorrect. Hope Oprah runs so she can be exposed and defeated just like all of the others!","Mon Feb 19 04:28:40 +0000 2018",34437,,153608,false
"Twitter for iPhone","965303158229622785","My great friends from NASCAR are having their big race today, The Daytona 500. Brian France and the France family are special people. Enjoy the race!","Sun Feb 18 19:13:02 +0000 2018",15542,,102112,false
"Twitter for iPhone","965272331978407937","Thank you to KenStarr, former Independent Counsel, Whitewater, for your insight and powerful words on FISA abuse, Russian meddling etc. Really great interview with @MariaBartiromo","Sun Feb 18 17:10:32 +0000 2018",17974,,77496,false
"Twitter for iPhone","965223354633457665","Great Pollster John McLaughlin now has the GOP up in the Generic Congressional Ballot. Big gain over last 4 weeks. I guess people are loving the big Tax Cuts given them by the Republicans, the Cuts the Dems want to take away. We need more Republicans!","Sun Feb 18 13:55:55 +0000 2018",21861,,97209,false
"Twitter for iPhone","965221024496279552","The Fake News of big ratings loser CNN. https://t.co/rYsv90cnvs","Sun Feb 18 13:46:39 +0000 2018",19637,,76885,false
"Twitter for iPhone","965212168449941505","If it was the GOAL of Russia to create discord, disruption and chaos within the U.S. then, with all of the Committee Hearings, Investigations and Party hatred, they have succeeded beyond their wildest dreams. They are laughing their asses off in Moscow. Get smart America!","Sun Feb 18 13:11:28 +0000 2018",33016,,118306,false
